"distancia_km","cota","pendiente","curvatura","elemento","tipo_elemento","curvatura_magnitud"
105.655766,943.092,0.523606,0,NA,0,0
105.755766,943.615,0.785402,0.00266666664,NA,0,0.00266666664
105.788492,943.872,0.782411933,0.00266666664,NA,0,0.00266666664
105.821219,944.126,0.785404146,0.00266666664,NA,0,0.00266666664
105.853945,944.383,0.78538394,0.00266666664,NA,0,0.00266666664
105.860492,944.4352,0.785410047,0.00266666664,NA,0,0.00266666664
105.867039,944.486,0.785404146,0,NA,0,0
106.017039,945.664,0.785392,0,NA,0,0
106.067039,946.056,0.785393,0,NA,0,0
106.087039,946.2142,0.785392,-0.00266666664,NA,0,0.00266666664
106.119766,946.47,0.782405,-0.00266666664,NA,0,0.00266666664
106.152492,946.725,0.773462951,-0.00266666664,NA,0,0.00266666664
106.185219,946.976,0.758635044,-0.00266666664,NA,0,0.00266666664
106.217945,947.221,0.785398,-0.00404028129,NA,0,0.00404028129
106.304344,947.886,0.523597956,-0.00266666664,NA,0,0.00266666664
106.33707,948.057,0.261797,-0.00266666664,NA,0,0.00266666664
106.3698,948.142,0,0,NA,0,0
106.372438,948.142,0,-0.002,NA,0,0.002
106.381164,948.142,0,-0.002,NA,0,0.002
106.389891,948.142,0,0,NA,0,0
106.392531,948.142,0.2618,-0.00266666664,NA,0,0.00266666664
106.425258,948.228,0.523597956,-0.00266666664,NA,0,0.00266666664
106.457984,948.399,0.785398,0,NA,0,0
106.507984,948.7922,0.785395,0,NA,0,0
106.557984,949.184,0.78541106,0,NA,0,0
106.607984,949.577,0.785401165,0.002,NA,0,0.002
106.782516,950.92,0.785398,0.002,NA,0,0.002
106.957047,952.263,1.0472,0,NA,0,0
107.046523,953.2,1.0472,0,"60",1,0
107.157047,954.357,1.0472,0,NA,0,0
107.357047,956.452,1.0472,0,NA,0,0
107.557047,958.546,1.0472,0,NA,0,0
107.757047,960.6409,1.0472,0,NA,0,0
107.957047,962.735,1.0472,0,NA,0,0
108.157047,964.829,1.0472,0,NA,0,0
108.235273,965.6479,1.0472,0,"205",2,0
108.243633,965.736,1.0472,0,"75",4,0
108.24432,965.743,1.0472,0,"60",3,0
108.257047,965.876,1.04719,-0.00404028129,NA,0,0.00404028129
108.343445,966.763,1.0472,-0.00404028129,NA,0,0.00404028129
108.429844,967.6489,0.785398,-0.00404028129,NA,0,0.00404028129
108.451445,967.819,0.523597956,-0.00404028129,NA,0,0.00404028129
108.473047,967.9322,0.261806,-0.00404028129,NA,0,0.00404028129
108.494648,967.988,0,-0.00404028129,NA,0,0.00404028129
108.5085,967.988,0,-0.00404028129,"60",4,0.00404028129
108.509891,967.988,0,-0.00404028129,"75",3,0.00404028129
108.51625,967.988,0,0,NA,0,0
108.518891,967.988,0,0,NA,0,0
108.568891,967.988,0,0,NA,0,0
108.573891,967.988,0,0,NA,0,0
108.576531,967.988,0,0,NA,0,0
108.586531,967.988,0,0,NA,0,0
108.686531,967.988,0,0,NA,0,0
108.736531,967.988,0.261797,0,NA,0,0
108.746531,968.014,0.523595,0,NA,0,0
108.756531,968.066,0.78539,-0.002,NA,0,0.002
108.773984,968.203,0.785399,-0.00266666664,NA,0,0.00266666664
108.806711,968.46,0.782409966,-0.00266666664,NA,0,0.00266666664
108.839438,968.7142,0.773466,-0.00266666664,NA,0,0.00266666664
108.872164,968.965,0.758635044,-0.00266666664,NA,0,0.00266666664
108.904891,969.211,0.785404146,-0.00266666664,NA,0,0.00266666664
108.937617,969.468,0.785404146,-0.002,NA,0,0.002
108.95507,969.605,0.78542614,0,NA,0,0
109.15507,971.176,0.523597956,0,NA,0,0
109.16507,971.228,0.261803,0,NA,0,0
109.17507,971.254,0,0,NA,0,0
109.22507,971.254,-0.261798978,0,NA,0,0
109.23507,971.228,-0.523597956,0,NA,0,0
109.24507,971.176,-0.785397,0,NA,0,0
109.25507,971.097,-1.0472,0,NA,0,0
109.26507,970.993,-1.309,0,NA,0,0
109.46507,968.375,-1.309,0,NA,0,0
109.648484,965.9742,-1.309,0,"60",1,0
109.66507,965.757,-1.309,0,NA,0,0
109.76507,964.448,-1.309,0.00266666664,NA,0,0.00266666664
109.7978,964.02,-1.30401993,0.00266666664,NA,0,0.00266666664
109.830523,963.595,-1.28911,0.00266666664,NA,0,0.00266666664
109.86325,963.177,-1.26439,0.00266666664,NA,0,0.00266666664
109.895977,962.769,-1.30899,0.00266666664,NA,0,0.00266666664
109.9287,962.3409,-1.30401,0.00266666664,NA,0,0.00266666664
109.96143,961.9172,-1.28911,0.00266666664,NA,0,0.00266666664
109.994156,961.498,-1.26439,0.00266666664,NA,0,0.00266666664
110.026883,961.09,-1.309,0.00266666664,NA,0,0.00266666664
110.059609,960.662,-1.30401,0.00266666664,NA,0,0.00266666664
110.092336,960.2372,-1.28911,0.00266666664,NA,0,0.00266666664
110.125063,959.819,-1.26439,0.00266666664,NA,0,0.00266666664
110.157789,959.411,-1.0472,0.00266666664,NA,0,0.00266666664
110.164336,959.342,-0.785397,0.00266666664,NA,0,0.00266666664
110.170883,959.29,-0.523597956,0.00266666664,NA,0,0.00266666664
110.17743,959.256,-0.261798,0.00266666664,NA,0,0.00266666664
110.183977,959.239,0,0.00266666664,NA,0,0.00266666664
110.2167,959.239,0,0.00266666664,NA,0,0.00266666664
110.22325,959.239,0,0.00266666664,NA,0,0.00266666664
110.2298,959.239,0,0.00266666664,NA,0,0.00266666664
110.236344,959.239,0,0,NA,0,0
110.436344,959.239,0,0,NA,0,0
110.536344,959.239,-0.261798978,-0.00266666664,NA,0,0.00266666664
110.542891,959.222,-0.523597956,-0.00404028129,NA,0,0.00404028129
110.629289,958.778,-0.523599,-0.00404028129,NA,0,0.00404028129
110.715688,958.335,-0.523599,-0.00404028129,NA,0,0.00404028129
110.802086,957.892,-0.523597,-0.00404028129,NA,0,0.00404028129
110.823688,957.779,-0.523601,-0.00266666664,NA,0,0.00266666664
110.830234,957.745,-0.261798978,0,NA,0,0
110.840234,957.719,0,0,NA,0,0
110.850234,957.719,0,0,NA,0,0
110.860234,957.719,0,0,NA,0,0
110.870234,957.719,0,0,NA,0,0
110.880234,957.719,0,0,NA,0,0
110.890234,957.719,-0.261798978,0,NA,0,0
110.900234,957.692,-0.523596,0,NA,0,0
110.910234,957.64,-0.785398,0,NA,0,0
